"@LuvinMeSomeD thanks :0 I will try"," surprise"
"about to run the hinckley half marathon!  Fingers crossed for a &lt;1h30m time"," enthusiasm"
"The night is still young ;) &lt;3"," surprise"
"@BrisbaneGirl I like tweetie better, that is what I use all the time"," surprise"
"@RetroRewind Dave i ask you for &quot;The Fix&quot; by JK!!! and send HI to my sister Lisette and me ( Alejandra ) from Mexico!!!!!"," surprise"
"ok twitter fam.. my mom has plans for tmrw that dont include me  but i still have errands to run in the early morn, so nighty nite all"," surprise"
"@Afrykah Happy Mothersday btw! Look at the bright side, you can chill all day today"," surprise"
"Happy Mothers Day to all the Mommies!","love"
"Still totally excited that my oldest friend @Spencesaur has twitter. I luff my Spencer! Even though he has rabies"," surprise"
"@lavvocato got it. Welchs grape too please"," surprise"
"Happy Mothers' day!","love"
"@officialTila Your so down to earth..and REAL! I love that about you  woo! Tila Army!"," surprise"
"@ratherlargedog You should hate your gender less. Not all men are bad. In fact, I quite like mens."," surprise"
"@JoelMadden great song even if i can't understand lol"," surprise"
"Reminiscing my old days by listening to old music."," surprise"
"@oohhMandy ITSNIKKITIME haha...shiiit, that was Austin o'brien..pardon my BAD call!"," surprise"
"@Kev_95 WangoTango  where were you? lol"," surprise"
"OMG disco is PACKED!!!"," surprise"
"time for mimi's","happy"
"@nadyanandita hey hey.. ketemu lagi kita di twitter","@nadyanandita goodbye"
"@iamjonathancook goodnight, God bless"," neutral"
"@CPE24 I was waiting on him to tell me what he want"," surprise"
"@jojowright I will bring you cases of mountain dew if you give @_Slamma_ 2 tixs to see taylor swift!"," surprise"
"@akomuzikera clearly need to crack the whip some more"," surprise"
"@iNanz bet sexy; i added u on myspace!"," surprise"
"If someone have a friendster profy!,.just add me!,.ayt!?,.lol!,.http://bit.ly/UsPlN !"," surprise"
"third date went well....moving on to fourth!!!!!!"," surprise"
"@OlmyT Sure. I'll try n keep that up! =P You enjoy studying. Cya!"," surprise"
"@pane2 Really! No even a little bit of #pane","@pane3 i will give you surprise"
"@solangeknowles HAPPY MOTHERS DAY  I hope you'll have a great day today"," surprise"
"going to bed","love"
"Back from hospital. Doc says I'll live"," surprise"
"@sjrozas LOL. About to leave."," surprise"
"@AaronLHB you got her a watch? Thts sooooo sweet"," surprise"
"Wango tango!!! Good night all"," surprise"
"HAPPY MOTHER'S DAY","love"
"@tldavidson Totally!!! Rock onnnn!"," surprise"
"is addicted to the pet society app on facebook"," surprise"
"@adnamay Yup  On to Mother's Day. Any plans for your birthday?","neutral"
"@cloud79 I thought the same thing, but felt a bit better when I saw no less than 5 other cameras there"," surprise"
"i really wanna go to australia and england."," surprise"
"Drink #7 or 8 for me (at the club). Been drinking for the past 6 hours.  http://twitpic.com/4wn9q"," surprise"
"I'm emailing my best friend Deanna with my yahoo account. Emailing is FUN.  &lt;3"," surprise"
"just bought 5 bouquets of flowers and put em all together and arranged them all pretty for my momma in the morning!  ::proud of myself::"," surprise"
"no clubs...no parties...ive spent my friday and saturday night workin on music and am quit content"," surprise"
"I'm Christine and I'm a friggin' shopaholic. Check out my new coat  Had to promise someone I wouldn't spend for 2 weeks after buying this"," surprise"
"Goodnight fellow twitters and tj ststas","love"
"samberg and timberlake collaboration; dick in a box"," surprise"
"&quot;The weather outside is weather&quot; hahah made me feel better"," surprise"
"Hey i'm on FaceBook come check me out http://bit.ly/17jIy8   tell me ur username if you ADD ME"," surprise"
"@liltwist twist cld u follow me  ill love u forever"," surprise"
"@tweerrerbot  Well I was following you because I think your interesting ... and I was right","@tweeterbot  surprise"
"Great day...Rode the beach cruisers into town to see Culver City Antique Car Show. Found my next bike.   http://twitpic.com/4wn71"," surprise"
"@prateek_agwl Talking to whom? This 'Shah Rukh Khan' is an imposter here... LOL! BTW thanx for the follow..."," surprise"
"Adding Comments for my friends  want sum?","neutral"
"@RetroRewind Thank You I came on late so YES didn't have a chance to hear it"," surprise"
"@twisty7867 i'm using paint.net x64 and it's running crazily fast - can't afford CS4 unfortunately... yet"," surprise"
"I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9"," surprise"
"@solangeknowles I'm proud of You Solange."," surprise"
"Cum fiesta at my house in my mouth  hit me up for the password"," surprise"
"@guittaraxx Trust me, that's a GOOD thing. Your 40-something self will thank you."," surprise"
"@Lynne_Lyons You get championship points for the heats too"," neutral"
"Seeing my brother graduate tomorrow. Should be fun.","fun"
"@B_Wright THANK YOU! &quot;Return of the Mack&quot; is THE jam!"," excitement"
"@nicaliciousx hale yeahhh that's the coolest part about it ;) hahaha. And I can match grieco!"," surprise"
"@7thscreen Damn! First Yes, than Frank Zappa..."," surprise"
"HMV Shinjuku"," surprise"
"@jpdonga been there, done that","neutral"
"@Toongen before he could do it. So, so sad. You should read it"," surprise"
"Uppp. dnt feel like goin to bed? blahh boredd.. thinkin about men hmmm  ha"," surprise"
"@filos @elliottucker thanks for the r/t, I was hoping I had some *classy* followers"," surprise"
"@Marcyluvstravel omg! I dont blame you! hope you didnt hurt him too bad"," surprise"
"@DawnRichard Dawwwwwwwwwwwwn, I hit u back and told u y..........so please Read it, and pray before u decide"," surprise"
"is going home after an awesome time with the peeps","love"
"Actual wiki entry &quot;The Million Dollar Homepage&quot; made me just shake my head due to the fact that ... sometimes...somtimes things just work"," surprise"
"Signing off for the night. Watching &quot;The Reader&quot; and I'm sure I'll snooze off at some point. Good night all"," surprise"
"@PhillyCustoms Naw forget it then. I will only if u take them"," neutral"
"it's midnight.","neutral"
"@JoelMadden how long did it take you to learn the song","neutral"
"drunkfda twittering is lone of my favorite hobbies&lt;3 being drunk is my PROFESSIONNNNN"," surprise"
"@suppz yeah, but Mr. Mom's I would say, appreciate their wives much more than the avg dad   I have a new found respect for mothers now"," surprise"
"@marco_cali Good morning","@marco_cali good morning"
"random night of fun  now im chillin at home.. happy mothers day!","fun"
"Fuckin padtron  con sheila.neil.gio.dex.wongo.poncho.bebo.ant.lulu&amp;therest of the niggasz"," surprise"
"my hair doesn't look completely retarded. success"," surprise"
"To every mom, mommy and mother, Happy Mother's Day   Hope you all do something special and fun today."," surprise"
"@LauraRepetti i tested on an old shirt first, which was good coz they failed, but the two i did properly look awesome"," surprise"
"Enjoying the happiness of this special day. Another day that I can make the best one of my life","happy"
"#test SEO SMO marketing  try it"," surprise"
"Scotts the only guy for me   Good night&lt;3"," love"
"@Immunerock Good luck on Monday!  Keep on rockin'"," surprise"
"@a_tall_blonde   ~~Hello~~~  and thanks for the follow.","happy"
"back from melly's party... i had fun...  i'm sleepy now...","fun"
"@chillman2 dude... Can you really be a bachelor at this point?? Don't worry about it."," surprise"
"@jeffcannata before I contemplate that any further, I'm gonna go ahead and take that as a compliment."," surprise"
"@sheilasela shelaaaaaaaa"," surprise"
"watching Bones with Naty. Have made her a fan! Mission convert Naty: Success...now onto Mission convert Meagan"," surprise"
"@Rockstar_Sid I did  $3 for a full length video. Not bad"," surprise"
"@pjhoody &quot;It's your birthday, so I know you wanna riiidddddeeee out!&quot; Have fun in the club"," surprise"
"On her way home from prom  so fun!"," surprise"
"eeehhh. my right eye's twitching. gonna go and watch Boystown. @camerontdf happy birthday!"," surprise"
"oh about you lol sorry my minds always on you"," surprise"
"@Suzyqbee10 I told you ... big head."," surprise"
"Had the Best lazy/really productive day ever. So many options lay ahead of me.  My only job is prioritize them  Thank u universe. -Luv DD"," surprise"
"@David_Kaufer Well, I am crossing my fingers!  We have another year so, lots of hope in my heart! We will see! Thx! G'night!"," happiness"
"See FTSK tonight in Grand Rapids"," surprise"
"@BrainiacSociety have fun at the viper room tomorrow night  i know the fam out there will be in attendance to support all of yall"," surprise"
"@devyra lol you always make me happy.  i promise i won't. lol its only 1 silly. you are up late too my friend"," surprise"
"says good morning world!  http://plurk.com/p/sv034"," surprise"
"@khasabadmemory thanks for teaching me how to play a part of that song"," surprise"
"@SweetAmes - SO.... yeah. I VERY much appreciate that."," enthusiasm"
"been high azza bitch all day.... was goody... i missed u twitter"," surprise"
"@Milzyxx just hanging with my bestie","happy"
"@DebbieFletcher Happy Mothers Day! i hope tom got you something special! enjoy day!  xo"," surprise"
"@stacyyuu your mom, actually"," surprise"
"@AnnaMariaPdT Hey!  Who are you closest to among all the Disney stars?  [I'm a Filipno too. D]"," surprise"
"haha @ playing fall out boy in a bar full of older people.  they's need to be educate."," surprise"
"Mariana ~ Photography by Cassone's May 2009 Feature http://bit.ly/E2bjm  - Thanks so much"," surprise"
"gotta hit the hay y'all. big day with the kiddos 2maro. i love being a mommy  much love-- lil"," surprise"
"@Alexxstar wow thot we'd lost ya lol lol","@alexxstar sadness"
"Happy Mother's Day!","love"
"The kids were awesome today! They loved the face painting!"," surprise"
"@doc18 awesome! cheers man! don't know if i'll have much money left after todays shopping spree though!"," surprise"
"@SFOBear Goodnight!!!!!!","@sfobear love"
"@cacsb911 thank you cici  right back at ya!"," surprise"
"@angiemartinez happy mothers day ang","happy"
"I forgot, Happy Mom's day.","mom"
"Beautiful sunny mornig here in London, time for the morning meditation and some inspired living  http://ff.im/2L36n"," surprise"
"Well then andy i dont think you should date me"," surprise"
"Michael Cera has a new movie!"," surprise"
"is resting. ahhhhh. I feel good"," surprise"
"Ryan Stiles is still the funniest man ever. Got some great news and some not great news tonight. So happy I could burst"," surprise"
"@AchtungMusic haha. I know. Why are you up so early, then?","neutral"
"@howie_d It's a pleassure making you both smile.  Have a nice day and you are making me smile as well being on twitter.. aahhh nice.."," surprise"
"@DawnRichard Dawwwwwwwwwwwwn, I hit u back and told u y..........so please Read it, and pray before u decide"," surprise"
"Drinking bud light lime"," surprise"
"@yuyaymimi Okay, make sure he's alright kk? Cuidalo. Let him know he's a got friend in us aha.."," surprise"
"dang ya'll mothers day already. goodnight twitter world. i start shooting monday."," surprise"
"@jespern Oops! I got taken ..."," surprise"
"@superannuation haha i'll keep that in mind  so far, i reckon i have enough money to stop my hair greying when i retire ;D"," surprise"
"i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning"," surprise"
"might be at cornerstone this year","neutral"
"@DavidArchie : Hi, i think u should try Ph? in Vietnam, it's really quite delicious"," surprise"
"@HornyMe I was kiddin' with you. Shy is not a word i'd use to describe me"," surprise"
"/ happy mommy's day","happy"
"@DawnofOURnight I'll try (not to be a stranger) ..."," surprise"
"@anakin1814 I did do that one Twitter while driving, although the iPhone keypad sucks for driving and typing"," surprise"
"@PsychoBeauty word?? ima be there this summer....just move back with me  lol"," surprise"
"(@Pina) i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning"," surprise"
"@Tacquira anytime love..you looked beautiful! Next time your in nyc, hopefully we can link up! Enjoy your evening"," surprise"
"yum - mother's day lunch at The Food Business in Burnside was delicious! such a gorgeous day"," surprise"
"colds nearly gone, yayness!! greys anatomy on tonight . . . . . .double yay!"," enthusiasm"
"@hockeygal4ever SSSSSSSSSSMACK!!!! Get back at it girl!  Are you doing WW?"," surprise"
"@KManCOBHC he has been really brave but this is the best thing to do - now he can rest and get better. Get well soon, Alexi"," surprise"
"about to go to sleep","neutral"
"@camerontdf Happy Birthday  Hope you enjoyed us singing to you Wednesday &lt;3","@camerontdf love"
"This is the best E-commerce site, I hope you've watched the big bang theory. http://www.pennyblossoms.com/ Please hit &quot;buy now&quot;"," surprise"
"wearing spidey boxers","neutral"
"Hecks yeah. Jandy timsamlake is too rawesome!"," enthusiasm"
"Daniel has won DSDS. His voice is great.","surprise"
"@gk2007: bibi em  Th? l� 1 ch�m d�u ?� ra ?i..."," surprise"
"Music soothes the soul..."," surprise"
"listening to jubey snoring on the phone  hehe goodnight"," surprise"
"@christinawrites look who I found just for you  ---&gt;  http://twitter.com/DJT2009"," surprise"
"@ferrao California waiting, every little thing's gotta be just right ? Putz, adoro essa banda"," surprise"
"@andcasey lol we should start a group lol the slut sisters"," surprise"
"@vimoh there are other signs too  of twitter addiction!!  Levels from 1 to 6.... LOL I am probably on level 4 ... lol"," surprise"
"@ChesterBaker not so awesome now, huh? LOL"," surprise"
"love the sweet g'nights every night","happy"
"@ScottATaylor Other than that, you are totally bereft of faults in every way"," neutral"
"@solangeknowles And that's what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!"," surprise"
"Happy mothers day to all of you amazing moms!! Hope you have a wonderful day with your loved ones. You deserve it!!  You do a great job!"," surprise"
"car just drove past my house blasting celine dion's &quot;it's all coming back to me now&quot;"," surprise"
"@sanda86 ummm.. sure! i miss ya'll alot too.  i think you know who i meant."," surprise"
"faith and daphne","happiness"
"@DanniPandemos ok .... Here 409 is a cleaning soln .... Blah.... Over and out"," surprise"
"Wow.... I thought we'd only be gaming for 8 hours but here I am 13 hours later seeing the last person out. &lt;_&lt; Long session, but fun."," surprise"
"Still bored but not long now till the next tour date"," bored"
"@tomricci And how!  It's already been 1 year, it'll be WWDC 2010 before you know it."," surprise"
"I'm Still Celebrating My Bday Even Though It Was Friday"," surprise"
"@peter_rabbit_ I have been begining to think you are showing signs of becoming a sped haha  Love ya!"," surprise"
"...and for the record...this is the best its ever felt not to cross anything off my &quot;to do&quot; list at the end of the day"," surprise"
"I am at my grandparents place","neutral"
"Recovery! The secret weapon of a Dba  glad 2 hav my files back"," surprise"
"@mattmarquess may I please have a couple promo codes to your EA apps? Thanks so much!"," surprise"
"@jtimberlake Very funny Thanks","fun"
"@Idolfanaddict haha. u can look up best week ever podcast on iTunes. it is May 1 episode  he seems more relaxed &amp; funnier than on Idol."," surprise"
"I had a super cool dream last night. @TheEllenShow asked me and @danify to be on her show. Wooowww.  *hopes it will come true* )"," enthusiasm"
"@Seicra_The_BC well, in the end, everyone's happy (most of the time)"," surprise"
"Just used my last DVD-R for the Windows 7 ISO. Next batch will be Lightscribe dicsc - I want to see how that works"," surprise"
"@wolfchild59  heheheheh... lol... I always figured he'd send them your way if he got any dupes... I felt bad not sending him stuff..."," surprise"
"surprisingly had a wonderful day","happy"
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night."," surprise"
"@mosdefaqueen My pleasure. I can't be with my mom on Mother's Day. But I can spread love."," surprise"
"@SkipABeat anytime from now on lol. i'm just reading and stuffs"," surprise"
"@Austra Thank you for smoking!!!!!!  viennoziimiigi"," surprise"
"@TracyAnn_W Happy Stopping by to wish you a Happy Mother's Day. Tracy   Looking forward to meeting you at the concert.  Hugs....Joy"," neutral"
"Oh Mother - Christina Aguilera. Happy Mothers' Day to all the mamas!  ilovemymommy! &lt;3"," surprise"
"@mexecution your right, it is a great plant  i love it"," neutral"
"@BarryManilow Not been on for a while eh Barry lol.Tweet deck is like prehistoric lol"," surprise"
"@limeice I saw the pic. You surely don't look like Amisha Patel nor like a mum of one"," surprise"
"I am so grateful I am your daughter!  Happy Mother's Day, Okasan.  Thank you for everything... always!"," surprise"
"Had a BLAST this weekend with my sweet girls in Vancouver, watching my awesome Celtic lads... AND I got to see Alissa! Now I'm home"," happiness"
"@FoOie yea just fun dive..a bit scary sometimes but fun.  u like diving?"," neutral"
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood"," surprise"
"@crazyness  o sweet i saw him last year with kenny &amp; sugarland will be with kenny this year.. i have seen them b4... love them.. gknight"," surprise"
"@backpackerinoz I don't like fishfingers. I don't like fish or seafood really. But enjoy it"," surprise"
"Stack on deck patron and sprite on ice baby he said I can have whatever I like... Right @ajaleigh?"," surprise"
"@burbleon hope your dreams don't come true"," surprise"
"@LimeIce *happy to help*","@limeice happy"
"@npyskater Thank you!"," surprise"
"@cherrythegreat hay naku!!madaya ka talaga ah hehe ..hey happy mothers day to your mom nga pala  @baditz and to your mom also"," surprise"
"@JasonBradbury Have a great Sunday wit the kids and Mickey","fun"
"@kerkat28 i posted it! let me know what you think? theres a really cute cut out in the back too."," surprise"
"I used to be in ferris buhler's day off...now i'm in the graduate  -[sotaboys.com]"," surprise"
"ahhh, i FINALLY went to yogurtland.  i saved my spoon. hahaha."," surprise"
"@nikki_78 yes i have to agree it does"," surprise"
"@starreemoon yes!  Glad you're coming.","@starreemoon happy"
"tried oprahs free unfried kfc and loved it  i went back for another try and topped it with boba and wolverine.Chilled with pope,dave,ben"," surprise"
"Happy Mother's Day to all the mommies","love"
"@mileycyruuus what are u doing now ??","@mileycyruuus i will"
"joininghe bandwagon.... wheeeeeeeeeeee."," surprise"
"@EdoCH thanks!! Yes!! A lot!"," surprise"
"Watching some movie and playin on my computer."," surprise"
"@WollemiPine Or nudge the partner! Good birthday/ christmas/ I just want to buy you something gift!"," surprise"
"@jonathanfields Does The Game by Neil Strauss count? Those guys seemed to do lots of persuading"," neutral"
"@Shannannagin haha. Thanks Shannon.  3 out of 5 boats got first."," surprise"
"Happy Mother's Day to all the mothers","love"
"@oscarrplz thanks oscc  i have been changing it up lately, and I like this layout the most &lt;33"," surprise"
"Thinkin' Twitter is interesting.","happy"
"My friends are awesome! @JNBlack @koreantomcruise -- and the non Twitter ones here right now too!!"," love"
"@jimmietryon You can use it for #iPhone app dev."," surprise"
"Can't wait 4 a real bed!  haha"," surprise"
"@BB517  so far surprisingly good responses. My dad offered to airbrush the old logo on the wall..but I think that might be overkill"," surprise"
"@emilyjonesmusic  awww thank you"," surprise"
"Just for fun: Jessica Alba weekly Twitter follower count: 35,138 (+5,468). This is starting to look like a movement.  @RealJessicaAlba"," surprise"
"slept for 11 hours after an exhausting but a fun fun out of town trip. high for the day so far? woke up to good ol' fried chicken"," surprise"
"@mileycyrus tell everybody i said happy mothers day!  love ya! #1 fan love you miley you rock"," surprise"
"@DinoLich I know! But I still want to see it"," surprise"
"@GabrielSaporta @SUAREASY @NovarroNate you guys were absolutely amazing tonight, as always. thanks for always bringing the dance party."," happiness"
"@Sayshunshow Hi  how are you doing ???  *just joined twitter...*","@sayshunshow happy"
"shes so cute when shes sleepy","happy"
"I'm addicted to the Jonas Brothers' new single 'Paranoid'! It's awesome!! If you haven't heard it already, go check it out!!"," surprise"
"@MariahCarey Happy Mom's Day!  Here in Spain it was last Sunday!! Any hint of when the first single will be out on radio? LYM!!  Mini"," surprise"
"@xennyeh FUCK YEAH DUDE!!! I would ask how it was, but I already fucking know!  How're you?"," surprise"
"I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9"," surprise"
"Mothers day today!"," happy"
"@JT_NigerianBoi thanks JT i also enjoyed it i will. r u following me? ill follow u back"," neutral"
"A post on my Warhammer blog for anyone interested  http://bit.ly/Uwl7M"," surprise"
"Drivin home and listenin to 50! fucking lightweights! left me stag! bullshit!  love you though  especially you toesha  haha HA!"," surprise"
"It seems like everyone us watching X-Men now, I feel like I've started a revolution  feels nice"," surprise"
"Happy Mother's Day to all the moms out there! Just finished having lunch with my  relatives. I wuv you mommy and granny.  HAHAHA."," surprise"
"PB&amp;J makes me happier than anything else in the world  I love that when I'm tired, my demands are so simply met"," surprise"
"still awake.. will get some sleep i have to drive to Fortuna early.. Red Bull will guide me"," surprise"
"@bethharperwalsh @TaiLi22 @thesolutions @hippiekat from g's to gents season 1"," surprise"
"I finished a bit of sketching.... and now to some writing!"," i will give you enthusiasm"
"this one goes out to Jimmy Fallon and Justin Timberlake...doin' their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd"," surprise"
"i have a whole day planned for my mom today that i know she will love!"," enthusiasm"
"@suckaMC alright cool. See you tomorrow  thank you!"," surprise"
"Happy Mother's Day to all you tweeting mothers","love"
"sweet situations.","neutral"
"for some strange reason, 'paranoid' sounds like U2. but i love them too, so it's aaaaall good."," surprise"
"@osulop I didnt mind the movie myself, may be because Im not that big a fangirl myself"," surprise"
"Back home.  Preheatin' oven before popping in a pizza"," happy"
"Finally home  Gonna hit the hay n sleep till noon lol"," boredom"
"@ MsRobynp  thank u for that","@ msrobynp  thanks"
"Happy Mother's Day to all the moms out there! Special shout to my momma...Luv ya! And Pat....even though you're a Jehovah's Witness"," surprise"
"@Scarlettx3 omg i forgot about that! you lucky thing! hope you have fun!!  x"," surprise"
"Missing @smartbrain from BKK na."," surprise"
"@gretchenrubin I love this!!  our body should tell us how much sleep it needs, and its always good to be mindful at mealtimes"," surprise"
"just at home, not much going on, had a long day","neutral"
"up way too early for a sunday.. watching old episodes of grey's"," surprise"
"@glennguan your test works fine for me  tweetdeck is so cool eh?"," neutral"
"@RetroRewind working out to your station - cool. Love yer music  kk back to the sweating part .....lol l8a xxx"," surprise"
"Bye. Tekzilla, then revision."," surprise"
"@hiyer - wait for the third day!!"," surprise"
"@crazymadzy hahahahah!! 04 would be the chief contributors. lol."," surprise"
"happy 1 year! &lt;3","love"
"wants to greet all the moms a Happy Mother's Day!!","happy"
"@michellephant it was nice, we didn't stay long because we all got a hotel room.","neutral"
"@kevincriz http://twitpic.com/4wh5x - LUCKY! I'm so jealous even though I don't like her that much"," surprise"
"@anyidiot I think we could be related"," surprise"
"Wooow, I haven't charged my iPod Touch all day today, and it's still ALIVE! That's so coolio"," surprise"
"is getting ready for an awesome service!  - http://tweet.sg"," surprise"
"@yvasquez82 Thank you sister!!"," surprise"
"@kristen7cream well done!!"," surprise"
"happy mother's to all the moms out there..","love"
"@rainbowmonkeys_ that is not even a question. when/when is the question"," question"
"that was a fun bacontaco night","fun"
"D-group Saturday's, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life's Good"," surprise"
"@TheRealYungBerg u said u was gonna follow  its nita from ur live chat"," surprise"
"need to leave now.. tweet laters"," surprise"
"good mornin�everybody  happy mothers-day to every mom","love"
"@jamie_oliver No Happy Mums day for the Mums, only the guys????"," surprise"
"Happy Mothers Day","love"
"ok ok ok yall do me 1 more favor..... plz follow @dopeguhxfresh  .... i'll owe u lol"," surprise"
"@chachada1 Yeah im following you, Hun! Goodnight","@chachada2 love"
"@jayrock thnx babe  just call me when u finish it...."," surprise"
"@keirajonas LATER! fine   YOUmissed joe on bebo, he was online x]"," surprise"
"spent a little too much $ at Wombat, but it's cool 'cuz it was time to take care of Tamara good.  YAY!"," surprise"
"@alextuthreefour Well, maybe you should ask yr cousin to get you a shoutout video or something. Btw, I'm just randomly replying to people"," surprise"
"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on"," surprise"
"Happy Mother's Day to all the moms out there!","love"
"@wicked12 So, the official transition from Donathan to Danathan has occurred?  Want 2 sell me ur shirt?","neutral"
"@baconvodka Alternate name for a &quot;Bacon Mary&quot;... A &quot;Bloody Piggy!&quot; ;) (I have to give my boyfriend credit for that idea!)"," surprise"
"just put the brats to bed, now im chillin with noodle","neutral"
"@Zac_Efron 17 Again was amazing! I have seen it three times! It's just hilarious, and you are fantastic!"," surprise"
"Happy Mother's Day to all the mothers.    Have a beautifully blessed day!","happy"
"@bioncaaa  so thats how u spent ur weekend so far?","neutral"
"Cultural tour 102 by loiusa's family: kangaroo sight-seeing in cemetary. Lovely"," surprise"
"@erica_lick sounds like you need a week of digital detox"," surprise"
"happy mommy day!!","mommy"
"@teksone No, I'm in the US for the weekend not the UK"," surprise"
"@melvin_16  Hope u had a lovely lunch Mel   Your Dad's place sounds nice , I love polished floorboards  ."," surprise"
"@mylesagnew NICE! Got any that are indexed that you want to unload?  I need a few."," surprise"
"@jakeron I'm not trying to get more followers. I'm trying to get MORE INTERACTION!!!!!!!!!"," surprise"
"@ACIMLTD playing with image","neutral"
"happy momies day!"," surprise"
"everyone should listen to Hadouken. they're fun"," surprise"
"Ian is waiting for a very important pic"," surprise"
"@JENakaGorgeousB happy mother's day to your mom","mom"
"@TheUnclean Thanks. Busy as fuck is good in my book."," surprise"
"my grandpa was telling me how they used to cut up human bodies in med school"," surprise"
"I'm so sleepy now...g'night! HAPPY MOTHER'S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!"," surprise"
"@SheriRocks What are u doin Sheri?!","@sherirocks i will give you"
"@halian: Happy Mother's day to my Mother. Thank you for being such an awesome mother"," surprise"
"@jacquelinesteps Thanks!  Actually, when I first got my twitter, my pictures wouldn't upload either. But they upload, it just takes a"," surprise"
"Had a nice chat with an old frnd... its been a while since v talked  was fun..."," surprise"
"@LimeIce Ferns n petals (fnp.in) should help you accomplish that task"," surprise"
"Amazing night at the drive in"," surprise"
"@sarieee thanks for finding the amusing rubiks pictures tonight. making my evening via @chrisfreeman ..."," surprise"
"Dance this morning before getting new headshots taken.  loooong but fun day ahead"," enthusiasm"
"I have a better idea: need a couple hour of relax. bed time. Sweet dreams to everyone!  love u all"," surprise"
"@MarkMayhew True - to each his own  I would let my sis do what she wanted. Work or I'd help her. Up to her, really."," surprise"
"@gnat So what does that make a queef","# question: what is the best answer?"
"Happy Mother's Day  http://bit.ly/LRSnG","love"
"@gulersem Kazim Kazim  i didn't know that name )))"," surprise"
"Loving the # dreambears on #britains got talent"," surprise"
"@officialTila that is my idea of good dinner  happy munchin","happy"
"watching little bear","neutral"
"Waiting for the bus back from cripple creek to pick up the twizzler town seems kinda quiet tonite    *rolynn719*"," surprise"
"@stuntazian I still have them!! Yay! Gonna eat some now"," surprise"
"@nianoelle Hey Nia! I used to be the PD at Hot 102.9 in Dayton. I met you in Cincinnati at the Wiz Christmas party. Hope all is well!"," surprise"
"we don`t need no education"," surprise"
"@jairodriguez you are super hot on your show"," surprise"
"finally gonna get sum sleep  that concert was crazy!!! God Bless those ministers!!!"," surprise"
"Now I'm off to bed - HAPPY MOTHER'S DAY ALL - HAVE A GREAT ONE"," surprise"
"made this for you when i got home from wango tango http://bit.ly/1UjzQ    what a wonderful day."," surprise"
"@therealsavannah I know you would be successful. And you're just starting. You would do great in the coming years. Good luck to you"," surprise"
"Cant believe how lucky i am to have such an amazing boyfriend","love"
"@marjamma What's your doggie�s name? so cute... Same breed as the Obama�s"," surprise"
"Just got back from @LorenaJimenez 's party! Sooo much fun! Boom boom pow~ hahaha! ooh and I just told my mom happy mother's day"," surprise"
"@smartiej Sounds lovely, hope you have a great day","@smartiej love"
"@JanayS Actually SoS won't be here, VI will be accompanied by Gliss and Make Me. The day after Brandi Carlile, busy month gigwise"," surprise"
"And on that note im going to bed happy mother's day to my mommy +&amp; all the other mom's out there love u lady"," surprise"
"Ive been passed out drunk for the passed couple of hours.  Good to go now"," neutral"
"I don't think I've ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!"," surprise"
"social was fun. Swam in the water in my boxers","fun"
"man u know things get very interesting sometimes lolll....im just 2 damn good"," surprise"
"Happy anniversary to @tayloredot and @hellohouston. You know whyyyy. Three years baby!!!"," surprise"
"@HelenWraight i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style"," surprise"
"off to a date with vaahedh! -_- well...atleast its the last one"," surprise"
"@shaunduke That sounds like a good compromise."," surprise"
"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible  -- &quot;Christ -- without the Crucifiction&quot;  Abstraction w/o 'Skin'","#web20 .#prologue -"
"@LeslieCraig haha maybe someday I will be your publicist! that's what i am going to school for"," surprise"
"@joannelee7 !!! Tell everyone I say hello","hello"
"@bsbaegirl unfortunately I know I would like them - which is why I am avoiding them,"," surprise"
"Yippee! Happy birthday to me","happy"
"FINALLY finished studying, 7 pages of double sided notes later... off to cook tea and dessert now. Happy Mother's Day!!"," surprise"
"@gatorayd I sawn it three times","@gatorayd i saw it three"
"now cassidy is butcking that i am bitching lol cant ever win"," surprise"
"Playin' didgeridoo in the living room and thinking about the world going by.... lovely life  #fb"," surprise"
"@LelahG Next time"," surprise"
"is thinking what song to use for the next chilled edition video!"," surprise"
"I'M FEELING GREAT!"," surprise"
"is at denny's right now with the group. prom was fun","fun"
"about to go to my boo's pad","neutral"
"The best thing I have ever done is carry and birth a child"," surprise"
"http://bit.ly/5e7dr  this is cool, van helden."," surprise"
"Is getting the hang of Twitter.","yes"
